Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
pgk	PMM0195	phosphoglycerate kinase	TX50_RS01010	oxygenic photosynthesis // Calvin-Benson-Bassham cycle // gluconeogenesis I // sucrose biosynthesis I (from photosynthesis) // Entner-Doudoroff pathway I	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis // Carbohydrate Degradation
groL	PMM1436	chaperonin GroEL	TX50_RS07735		
TX50_RS09260		DUF4278 domain-containing protein			
PMM0319	PMM0319	L-threonylcarbamoyladenylate synthase	TX50_RS01655	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	Nucleic Acid Processing
PMM0566	PMM0566	glutathione S-transferase family protein	TX50_RS03020		
phoA	PMM0708	alkaline phosphatase	TX50_RS03780		
PMM1042	PMM1042	pentapeptide repeat-containing protein	TX50_RS05600		
PMM1187	PMM1187	AAA family ATPase	TX50_RS06405		
grxC	PMM0179	glutaredoxin 3	TX50_RS00930	glutathione-glutaredoxin redox reactions	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1401	PMM1401	DUF3764 domain-containing protein	TX50_RS07535		
argG	PMM1707	argininosuccinate synthase	TX50_RS09110	L-arginine biosynthesis II (acetyl cycle) // urea cycle // L-arginine biosynthesis I (via L-ornithine)	Amino Acid Biosynthesis // Inorganic Nutrient Metabolism // Superpathways
mtnP	PMM0301	S-methyl-5'-thioadenosine phosphorylase	TX50_RS01555	<i>S</i>-methyl-5'-thioadenosine degradation II // 5'-deoxyadenosine degradation I	Nucleoside and Nucleotide Degradation
csoS1A	PMM0549	hexameric carboxysome shell protein CsoS1A	TX50_RS02935		
nadA	PMM0678	quinolinate synthase NadA	TX50_RS03605	NAD <i>de novo</i> biosynthesis I (from aspartate)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1014	PMM1014	restriction endonuclease	TX50_RS05430		
glyQ	PMM1165	glycine--tRNA ligase subunit alpha	TX50_RS06295	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0163	PMM0163	rhodanese	TX50_RS00850	thiosulfate disproportionation IV (rhodanese)	Inorganic Nutrient Metabolism
PMM1380	PMM1380	HAD family phosphatase	TX50_RS07420		
queE	PMM1690	7-carboxy-7-deazaguanine synthase	TX50_RS09025	preQ<sub>0</sub> biosynthesis	Secondary Metabolite Biosynthesis
degT	PMM0284	DegT/DnrJ/EryC1/StrS family aminotransferase	TX50_RS01475		
PMM0530	PMM0530	S1 RNA-binding domain-containing protein	TX50_RS02840		
nrdJ	PMM0661	B<sub>12</sub>-dependent ribonucleotide reductase	TX50_RS03520		
PMM0982	PMM0982	HNH endonuclease	TX50_RS05225		
pntA	PMM1146	NAD/NADP transhydrogenase alpha subunit	TX50_RS06175	NAD phosphorylation and transhydrogenation	Cofactor, Carrier, and Vitamin Biosynthesis
ndhM	PMM0145	ferredoxin-quinone oxidoreductase subunit M	TX50_RS00760	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM1358	PMM1358	pyridoxamine 5'-phosphate oxidase	TX50_RS07285	pyridoxal 5'-phosphate biosynthesis I	Cofactor, Carrier, and Vitamin Biosynthesis
desC	PMM1672	<em>sn</em>-1 stearoyl-lipid 9-desaturase	TX50_RS08930	oleate biosynthesis III (cyanobacteria)	Fatty Acid and Lipid Biosynthesis
PMM0268	PMM0268	DUF3155 domain-containing protein	TX50_RS01390		
PMM0512	PMM0512	arsenate reductase family protein	TX50_RS02750		
ggpP	PMM0639	Glucosylglycerol-phosphate phosphatase (Salt tolerance protein A)	TX50_RS03390	glucosylglycerol biosynthesis	Fatty Acid and Lipid Biosynthesis
ureB	PMM0964	urease subunit beta	TX50_RS05130	urea degradation II	Amine and Polyamine Degradation
som	PMM1121	porin	TX50_RS06010		
PMM0125	PMM0125	ABC-type transporter, ATP-binding protein component	TX50_RS00655		
purC	PMM1339	phosphoribosylaminoimidazolesuccinocarboxamide synthase	TX50_RS07185	inosine-5'-phosphate biosynthesis I	Nucleoside and Nucleotide Biosynthesis
dapA	PMM1653	4-hydroxy-tetrahydrodipicolinate synthase	TX50_RS08835	L-lysine biosynthesis VI	Amino Acid Biosynthesis
PMM0250	PMM0250	aminoacyl-tRNA hydrolase	TX50_RS01295		
PMM0493	PMM0493	carboxypeptidase M32	TX50_RS02655		
sds	PMM0618	polyprenyl synthetase solanesyl diphosphate synthase	TX50_RS03285		
dnaE	PMM0945	DNA polymerase III alpha subunit	TX50_RS05035		
PMM1101	PMM1101	DEAD/DEAH box helicase	TX50_RS05905		
rimO	PMM0102	30S ribosomal protein S12 methylthiotransferase RimO	TX50_RS00540		
PMM1321	PMM1321	HU family DNA-binding protein	TX50_RS07090		
PMM1637	PMM1637	GntR family transcriptional regulator	TX50_RS08750		
PMM0232	PMM0232	DUF565 domain-containing protein	TX50_RS01195		
nhaP	PMM0472	Na+/H+ antiporter	TX50_RS02535		
PMM0602	PMM0602	ABC-type metal transporter, ATP-binding protein component	TX50_RS03205		
PMM0927	PMM0927	AI-2E family transporter	TX50_RS04945		
malQ	PMM1081	4-alpha-glucanotransferase	TX50_RS05805	glycogen degradation II	Carbohydrate Degradation // Polymeric Compound Degradation // Glycan Pathways
cysH	PMM0081	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)	TX50_RS00430	assimilatory sulfate reduction IV	Inorganic Nutrient Metabolism
sbtA	PMM0213	Na<sup>+</sup>-dependent bicarbonate transporter	TX50_RS01100		
lysS	PMM1618	lysine--tRNA ligase	TX50_RS08655	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
hemE	PMM0583	uroporphyrinogen decarboxylase	TX50_RS03110	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent) // heme <i>b</i> biosynthesis I (aerobic)	Tetrapyrrole Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
ispD	PMM0454	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	TX50_RS02445	methylerythritol phosphate pathway II	Secondary Metabolite Biosynthesis
trxA	PMM1061	thioredoxin	TX50_RS05700	thioredoxin pathway // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // assimilatory sulfate reduction IV	Cofactor, Carrier, and Vitamin Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters // Inorganic Nutrient Metabolism
PMM0910	PMM0910	YggT family protein	TX50_RS04860		
PMM0194	PMM0194	Predicted GTPase	TX50_RS01005		
psbX		photosystem II reaction center X protein		oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
TX50_RS09255		DUF2256 domain-containing protein			
PMM1599	PMM1599	alpha/beta fold hydrolase	TX50_RS08555		
dnaA	PMM0565	chromosomal replication initiator protein DnaA	TX50_RS03015		
PMM0434	PMM0434	ABC-type transporter, ATP-binding protein component	TX50_RS02340		
PMM1040	PMM1040	transglutaminase family protein	TX50_RS05590		
PMM0894	PMM0894	peptidylprolyl isomerase	TX50_RS04775		
gshB	PMM0178	glutathione synthase	TX50_RS00925	ophthalmate biosynthesis // glutathione biosynthesis	Other Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
PMM0043	PMM0043	diflavin flavoprotein A	TX50_RS00230		
rpsF	PMM1706	30S ribosomal protein S6	TX50_RS09105		
trpE	PMM1577	Anthranilate/para-aminobenzoate synthase component I	TX50_RS08445	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis // Superpathways
PMM0548	PMM0548	Xanthosine triphosphate pyrophosphatase	TX50_RS02930		
PMM0418	PMM0418	thioredoxin	TX50_RS02250	thioredoxin pathway // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // assimilatory sulfate reduction IV	Cofactor, Carrier, and Vitamin Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters // Inorganic Nutrient Metabolism
PMM1012	PMM1012	acyl-CoA thioesterase	TX50_RS05415	acyl-CoA hydrolysis	Fatty Acid and Lipid Biosynthesis
PMM0878	PMM0878	branched-chain amino acid transaminase	TX50_RS04695	superpathway of L-isoleucine biosynthesis I // L-isoleucine biosynthesis I (from threonine) // L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis // L-valine biosynthesis	Superpathways // Amino Acid Biosynthesis
gltA	PMM0161	citrate synthase	TX50_RS00840	partial TCA cycle (obligate autotrophs)	Generation of Precursor Metabolites and Energy
gap2	PMM0023	type I glyceraldehyde-3-phosphate dehydrogenase	TX50_RS00130	gluconeogenesis I // sucrose biosynthesis I (from photosynthesis) // Entner-Doudoroff pathway I // oxygenic photosynthesis // Calvin-Benson-Bassham cycle	Carbohydrate Biosynthesis // Superpathways // Carbohydrate Degradation // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation
pyrG	PMM1689	CTP synthase	TX50_RS09020	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine nucleobases salvage // UTP and CTP dephosphorylation I // UTP and CTP <i>de novo</i> biosynthesis // L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent)	Superpathways // Nucleoside and Nucleotide Biosynthesis // Nucleoside and Nucleotide Degradation // Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis
rplD	PMM1557	50S ribosomal protein L4	TX50_RS08335		
PMM0529	PMM0529	Tab2/Atab2 family RNA-binding protein	TX50_RS02835		
raiA	PMM0400	ribosome-associated translation inhibitor RaiA	TX50_RS02150		
PMM0981	PMM0981	probable membrane transporter protein	TX50_RS05220		
PMM0856	PMM0856	peroxiredoxin	TX50_RS04575		
pds	PMM0144	Phytoene dehydrogenase, phytoene desaturase	TX50_RS00755	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	Secondary Metabolite Biosynthesis
PMM0006	PMM0006	tetratricopeptide repeat protein	TX50_RS00045		
gcvH	PMM1669	Glycine cleavage system H protein	TX50_RS08915	folate transformations III (<i>E. coli</i>) // glycine cleavage	Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Degradation
purL	PMM0003	phosphoribosylformylglycinamidine synthase subunit PurL	TX50_RS00030	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM0511	PMM0511	inorganic diphosphatase	TX50_RS02745		
rpsM	PMM1537	30S ribosomal protein S13	TX50_RS08240		
ureC	PMM0963	urease subunit alpha	TX50_RS05125	urea degradation II	Amine and Polyamine Degradation
dapB	PMM0832	4-hydroxy-tetrahydrodipicolinate reductase	TX50_RS04455	L-lysine biosynthesis VI	Amino Acid Biosynthesis
cysK1	PMM0123	Cysteine synthase	TX50_RS00645	L-cysteine biosynthesis I	Amino Acid Biosynthesis
psaI	PMM1520	photosystem I reaction center subunit VIII	TX50_RS08150	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
rnj	PMM1652	ribonuclease J	TX50_RS08830		
cao	PMM0808	chlorophyllide <i>a</i> oxygenase	TX50_RS04310	chlorophyll <i>b</i><sub>2</sub> biosynthesis	Tetrapyrrole Biosynthesis
PMM0492	PMM0492	YjbQ family protein	TX50_RS02650		
acoA	PMM1288	Pyruvate dehydrogenase E1 component alpha subunit	TX50_RS06910	pyruvate decarboxylation to acetyl CoA I	Carboxylate Degradation // Generation of Precursor Metabolites and Energy
PMM0944	PMM0944	PAM68 family protein	TX50_RS05030		
rnhB	PMM1502	ribonuclease HII	TX50_RS08060		
PMM0101	PMM0101	vitamin K epoxide reductase family protein	TX50_RS00535		
proB	PMM0788	glutamate 5-kinase	TX50_RS04205	L-proline biosynthesis I (from L-glutamate)	Amino Acid Biosynthesis
infC	PMM1636	translation initiation factor IF-3	TX50_RS08745		
PMM1266	PMM1266	DUF3122 domain-containing protein	TX50_RS06805		
tsaD	PMM0470	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	TX50_RS02525	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	Nucleic Acid Processing
PMM1486	PMM1486	TatD family hydrolase	TX50_RS07980		
psbW	PMM0926	photosystem II reaction center protein Psb28	TX50_RS04940	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0380	PMM0380	nuclear transport factor 2 family protein	TX50_RS02025		
PMM0080	PMM0080	type III pantothenate kinase	TX50_RS00425	phosphopantothenate biosynthesis I	Cofactor, Carrier, and Vitamin Biosynthesis
glgC	PMM0769	glucose-1-phosphate adenylyltransferase	TX50_RS04110	glycogen biosynthesis I (from ADP-D-Glucose) // glucosylglycerol biosynthesis	Glycan Pathways // Carbohydrate Biosynthesis // Fatty Acid and Lipid Biosynthesis
smpB	PMM1616	SsrA-binding protein SmpB	TX50_RS08645		
PMM1243	PMM1243	methyltransferase domain-containing protein	TX50_RS06690		
fabG	PMM0453	3-oxoacyl-[acyl-carrier-protein] reductase	TX50_RS02440	fatty acid elongation -- saturated // stearate biosynthesis II (bacteria and plants) // stearate biosynthesis IV // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III	Fatty Acid and Lipid Biosynthesis
PMM1470	PMM1470	methyltransferase domain-containing protein	TX50_RS07900		
scpB	PMM0909	SMC-Scp complex subunit ScpB	TX50_RS04855		
PMM0357	PMM0357	TenA family transcriptional regulator	TX50_RS01900		
PMM0061	PMM0061	YggT family protein	TX50_RS00325		
rpsB	PMM0753	30S ribosomal protein S2	TX50_RS04030		
PMM1598	PMM1598	galactose mutarotase	TX50_RS08550	D-galactose degradation I (Leloir pathway)	Carbohydrate Degradation
PMM1220	PMM1220	glycosyltransferase	TX50_RS06575		
BirA	PMM0433	biotin--[acetyl-CoA-carboxylase] ligase	TX50_RS02335	biotin-carboxyl carrier protein assembly	Fatty Acid and Lipid Biosynthesis
atpH	PMM1452	ATP synthase delta chain	TX50_RS07810	ATP biosynthesis	Generation of Precursor Metabolites and Energy
ribA	PMM0893	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase RibB/GTP cyclohydrolase II RibA	TX50_RS04770	flavin biosynthesis I (bacteria and plants)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0333	PMM0333	GNAT family N-acetyltransferase	TX50_RS01755		
PMM0042	PMM0042	flavin oxidoreductase	TX50_RS00225		
PMM0728	PMM0728	ligase-associated DNA damage response DEXH box helicase	TX50_RS03890		
gshA	PMM1576	glutamate--cysteine ligase	TX50_RS08440	ophthalmate biosynthesis // glutathione biosynthesis	Other Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
rfbG	PMM1203	CDP-glucose 4,6-dehydratase	TX50_RS06490		
PMM1846	PMM1846	DUF4278 domain-containing protein	TX50_RS02240		
gpmI	PMM1434	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	TX50_RS07725	Rubisco shunt // gluconeogenesis I	Generation of Precursor Metabolites and Energy // Carbohydrate Biosynthesis
metH	PMM0877	methionine synthase	TX50_RS04690	<i>S</i>-adenosyl-L-methionine salvage II // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of L-methionine biosynthesis (transsulfuration) // L-methionine biosynthesis I // folate transformations III (<i>E. coli</i>) // L-methionine biosynthesis III	Cofactor, Carrier, and Vitamin Biosynthesis // Superpathways // Amino Acid Biosynthesis
psbM	PMM0317	Photosystem II protein M PsbM	TX50_RS01645	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
murC	PMM0022	UDP-N-acetylmuramate--L-alanine ligase	TX50_RS00125	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM0704	PMM0704	potassium channel protein	TX50_RS03760		
rplW	PMM1556	50S ribosomal protein L23	TX50_RS08330		
PMM1185	PMM1185	PH domain-containing protein	TX50_RS06395		
PMM0399	PMM0399	2-deoxyribose-5-phosphate aldolase	TX50_RS02145		
hli7	PMM1398	high light inducible protein Hli7	TX50_RS07520		
ftsH4	PMM0854	ATP-dependent zinc metalloprotease FtsH4	TX50_RS04565		
psbF	PMM0298	Cytochrome b559 beta chain PsbF	TX50_RS01545	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0005	PMM0005	DNA topoisomerase 4 subunit A	TX50_RS00040		
gcpE	PMM0676	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)	TX50_RS03595	methylerythritol phosphate pathway II	Secondary Metabolite Biosynthesis
PMM1161	PMM1161	2Fe-2S iron-sulfur cluster binding domain-containing protein	TX50_RS06260		
desA	PMM1378	fatty acid desaturase	TX50_RS07405		
fabI	PMM0282	enoyl-ACP reductase FabI	TX50_RS01465	stearate biosynthesis IV // palmitate biosynthesis III // stearate biosynthesis II (bacteria and plants) // palmitate biosynthesis II (bacteria and plant cytoplasm) // fatty acid elongation -- saturated	Fatty Acid and Lipid Biosynthesis
PMM0659	PMM0659	NAD-dependent DNA ligase	TX50_RS03505		
PMM1144	PMM1144	alpha/beta fold hydrolase	TX50_RS06165		
PMM1356	PMM1356	photosystem II S4 domain protein	TX50_RS07270		
PMM0265	PMM0265	DoxX family protein	TX50_RS01375		
PMM0637	PMM0637	ferric uptake regulator	TX50_RS03380		
som	PMM1119	porin	TX50_RS06000		
lpxC	PMM1337	UDP-3-O-acyl-N-acetylglucosamine deacetylase	TX50_RS07175	lipid IV<sub>A</sub> biosynthesis (generic)	Fatty Acid and Lipid Biosynthesis // Cell Structure Biosynthesis
PMM0247	PMM0247	DUF3084 domain-containing protein	TX50_RS01280		
PMM0616	PMM0616	N-acetylmuramoyl-L-alanine amidase	TX50_RS03275		
psbP	PMM1098	Photosystem II protein P PsbP	TX50_RS05890	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
cobD	PMM1316	adenosylcobinamide-phosphate synthase	TX50_RS07060	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	Cofactor, Carrier, and Vitamin Biosynthesis
coaBC	PMM0229	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	TX50_RS01180	coenzyme A biosynthesis I (prokaryotic)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0600	PMM0600	Membrane associated GTPase	TX50_RS03195		
PMM1076	PMM1076	oligoketide cyclase	TX50_RS05775		
PMM0209	PMM0209	AarF/ABC1/UbiB kinase family protein	TX50_RS01080		
petE	PMM0581	plastocyanin	TX50_RS03100	NADPH to cytochrome <i>c</i> oxidase via plastocyanin // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // cyclic electron flow // photosynthesis light reactions	Generation of Precursor Metabolites and Energy
